CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT
031780002024091913;03178000;19/09/2024;7613;I2M2;0.8693
031746952024091813;03174695;18/09/2024;7613;I2M2;0.291
031769452024091813;03176945;18/09/2024;7613;I2M2;0.6391
032197802024090313;03219780;03/09/2024;7613;I2M2;0.7468
032324502024082913;03232450;29/08/2024;7613;I2M2;0.7482
032286902024082813;03228690;28/08/2024;7613;I2M2;0.6286
032263002024082813;03226300;28/08/2024;7613;I2M2;0.775
032260002024082713;03226000;27/08/2024;7613;I2M2;0.7389
032339802024082713;03233980;27/08/2024;7613;I2M2;0.4697
041237602024082713;04123760;27/08/2024;7613;I2M2;0.7912
041231002024082713;04123100;27/08/2024;7613;I2M2;0.6736
041107002024082713;04110700;27/08/2024;7613;I2M2;0.4053
041156752024082613;04115675;26/08/2024;7613;I2M2;0.6299
041155802024082613;04115580;26/08/2024;7613;I2M2;0.9051
032266402024082213;03226640;22/08/2024;7613;I2M2;0.7617
032265402024082213;03226540;22/08/2024;7613;I2M2;0.6268
031750002024082213;03175000;22/08/2024;7613;I2M2;0.8329
031917002024082113;03191700;21/08/2024;7613;I2M2;0.5905
031992002024082113;03199200;21/08/2024;7613;I2M2;0.7402
032050002024082013;03205000;20/08/2024;7613;I2M2;0.4853
032415902024081413;03241590;14/08/2024;7613;I2M2;0.786
032504302024081413;03250430;14/08/2024;7613;I2M2;0.823
032726852024081413;03272685;14/08/2024;7613;I2M2;0.6386
032504752024081413;03250475;14/08/2024;7613;I2M2;0.8588
032719652024081413;03271965;14/08/2024;7613;I2M2;0.4649
032472102024081313;03247210;13/08/2024;7613;I2M2;0.67490000000000006
032656002024081313;03265600;13/08/2024;7613;I2M2;0.7669
032484012024081313;03248401;13/08/2024;7613;I2M2;0.7358
032659932024081313;03265993;13/08/2024;7613;I2M2;0.7513
032694382024081313;03269438;13/08/2024;7613;I2M2;0.8011
032314902024081313;03231490;13/08/2024;7613;I2M2;0.6119
032657102024081313;03265710;13/08/2024;7613;I2M2;0.7003
032714152024081313;03271415;13/08/2024;7613;I2M2;0.6497
032271002024081313;03227100;13/08/2024;7613;I2M2;0.6245
032507972024081313;03250797;13/08/2024;7613;I2M2;0.7327
032411702024081313;03241170;13/08/2024;7613;I2M2;0.8471
032649652024081213;03264965;12/08/2024;7613;I2M2;0.6181
032551802024081213;03255180;12/08/2024;7613;I2M2;0.5891
032710002024081213;03271000;12/08/2024;7613;I2M2;0.8449
032700002024081213;03270000;12/08/2024;7613;I2M2;0.7922
032703902024081213;03270390;12/08/2024;7613;I2M2;0.8033
032556502024081213;03255650;12/08/2024;7613;I2M2;0.4631
032224182024080713;03222418;07/08/2024;7613;I2M2;0.6748
031786602024073013;03178660;30/07/2024;7613;I2M2;0.6103
032232002024072913;03223200;29/07/2024;7613;I2M2;0.636
032227802024072913;03222780;29/07/2024;7613;I2M2;0.767
032174002024072513;03217400;25/07/2024;7613;I2M2;0.4152
032170002024072513;03217000;25/07/2024;7613;I2M2;0.4658
032070202024072413;03207020;24/07/2024;7613;I2M2;0.0621
032160002024072413;03216000;24/07/2024;7613;I2M2;0.4805
