CODE_OPERATION;CODE_STATION;DATE;CODE_PAR;LIB_PAR;RESULTAT
032260002024101627;03226000;16/10/2024;2928;IBMR;9.51
032543702024100927;03254370;09/10/2024;2928;IBMR;7.66
032547702024091927;03254770;19/09/2024;2928;IBMR;7.57
032726852024091927;03272685;19/09/2024;2928;IBMR;10.8
032266402024091927;03226640;19/09/2024;2928;IBMR;8.89
031917002024091727;03191700;17/09/2024;2928;IBMR;9.97
032349562024090527;03234956;05/09/2024;2928;IBMR;13.29
032142402024090427;03214240;04/09/2024;2928;IBMR;10.68
032411702024082127;03241170;21/08/2024;2928;IBMR;13.06
041237602024082027;04123760;20/08/2024;2928;IBMR;13
032367302024082027;03236730;20/08/2024;2928;IBMR;10.81
041231002024082027;04123100;20/08/2024;2928;IBMR;13.55
032224182024081227;03222418;12/08/2024;2928;IBMR;6.67
032227802024081227;03222780;12/08/2024;2928;IBMR;12.57
041110002024080827;04111000;08/08/2024;2928;IBMR;8.27
032160002024080827;03216000;08/08/2024;2928;IBMR;9.43
032120902024080727;03212090;07/08/2024;2928;IBMR;10.19
031786602024080627;03178660;06/08/2024;2928;IBMR;10.35
032507972024073127;03250797;31/07/2024;2928;IBMR;10.05
032656002024073127;03265600;31/07/2024;2928;IBMR;10.56
032710002024073127;03271000;31/07/2024;2928;IBMR;8.95
032703902024073027;03270390;30/07/2024;2928;IBMR;12.51
032484012024073027;03248401;30/07/2024;2928;IBMR;12.46
032504302024073027;03250430;30/07/2024;2928;IBMR;11.13
032504752024073027;03250475;30/07/2024;2928;IBMR;9.24
032700002024072927;03270000;29/07/2024;2928;IBMR;12.5
032714152024072927;03271415;29/07/2024;2928;IBMR;12
032719652024072927;03271965;29/07/2024;2928;IBMR;9.58
031788352024071127;03178835;11/07/2024;2928;IBMR;10.66
032317402024071027;03231740;10/07/2024;2928;IBMR;10.6
032320802024071027;03232080;10/07/2024;2928;IBMR;8.71
031903002024070127;03190300;01/07/2024;2928;IBMR;8.13
032174002024062027;03217400;20/06/2024;2928;IBMR;10.78
032170002024062027;03217000;20/06/2024;2928;IBMR;11.56
032459702024062027;03245970;20/06/2024;2928;IBMR;9.79
031992002024061927;03199200;19/06/2024;2928;IBMR;10.26
031970002024061927;03197000;19/06/2024;2928;IBMR;10.7
031985302024061927;03198530;19/06/2024;2928;IBMR;11.41
032694382024061827;03269438;18/06/2024;2928;IBMR;10.63
031946202024061827;03194620;18/06/2024;2928;IBMR;11.3
032649652024052427;03264965;24/05/2024;2928;IBMR;12.05
032551802024052427;03255180;24/05/2024;2928;IBMR;11.84
032640002024052327;03264000;23/05/2024;2928;IBMR;9.07
032578002024052327;03257800;23/05/2024;2928;IBMR;11.43
032616002024052327;03261600;23/05/2024;2928;IBMR;12.93
032537802024052227;03253780;22/05/2024;2928;IBMR;8.29
032556502024052227;03255650;22/05/2024;2928;IBMR;9.34
032659932024052127;03265993;21/05/2024;2928;IBMR;11.57
032657102024052127;03265710;21/05/2024;2928;IBMR;12.59
041156752023101927;04115675;19/10/2023;2928;IBMR;10.96
041155802023101227;04115580;12/10/2023;2928;IBMR;10.05
041107002023101027;04110700;10/10/2023;2928;IBMR;9.89
032710002023100527;03271000;05/10/2023;2928;IBMR;10.2
032050002023090727;03205000;07/09/2023;2928;IBMR;11.56
032040002023090727;03204000;07/09/2023;2928;IBMR;12.83
032463002023090627;03246300;06/09/2023;2928;IBMR;11
032070202023090627;03207020;06/09/2023;2928;IBMR;9.98
032472102023090527;03247210;05/09/2023;2928;IBMR;9.89
032469202023090527;03246920;05/09/2023;2928;IBMR;10.11
032459702023090527;03245970;05/09/2023;2928;IBMR;9.06
032310652023090427;03231065;04/09/2023;2928;IBMR;10.15
032286902023082427;03228690;24/08/2023;2928;IBMR;10.47
032022502023082427;03202250;24/08/2023;2928;IBMR;11.26
031801002023082427;03180100;24/08/2023;2928;IBMR;10.48
031750002023082327;03175000;23/08/2023;2928;IBMR;10.09
031746952023082327;03174695;23/08/2023;2928;IBMR;10.33
032451002023082327;03245100;23/08/2023;2928;IBMR;9.36
031788352023082327;03178835;23/08/2023;2928;IBMR;9.47
032272962023082327;03227296;23/08/2023;2928;IBMR;12.57
032317402023082327;03231740;23/08/2023;2928;IBMR;9.06
031786602023082327;03178660;23/08/2023;2928;IBMR;10.42
031780002023082227;03178000;22/08/2023;2928;IBMR;10.81
031769452023082227;03176945;22/08/2023;2928;IBMR;9.88
032314902023082227;03231490;22/08/2023;2928;IBMR;9.8
032263002023082227;03226300;22/08/2023;2928;IBMR;8.13
032324502023082227;03232450;22/08/2023;2928;IBMR;8.16
032260002023082127;03226000;21/08/2023;2928;IBMR;7.96
032265402023082127;03226540;21/08/2023;2928;IBMR;9.61
032215002023081727;03221500;17/08/2023;2928;IBMR;10.4
032232002023081727;03223200;17/08/2023;2928;IBMR;9.98
032224182023081627;03222418;16/08/2023;2928;IBMR;7.5
032197802023081627;03219780;16/08/2023;2928;IBMR;9.7
032227802023081627;03222780;16/08/2023;2928;IBMR;12.83
032266402023073127;03226640;31/07/2023;2928;IBMR;11.43
032271002023073127;03227100;31/07/2023;2928;IBMR;9.63
041237602023072627;04123760;26/07/2023;2928;IBMR;13.15
032694382023072527;03269438;25/07/2023;2928;IBMR;10.08
032700002023072527;03270000;25/07/2023;2928;IBMR;12.83
032703902023072427;03270390;24/07/2023;2928;IBMR;12.36
032411702023072027;03241170;20/07/2023;2928;IBMR;13.62
032419572023072027;03241957;20/07/2023;2928;IBMR;11.58
032367302023071927;03236730;19/07/2023;2928;IBMR;10.81
032415902023071927;03241590;19/07/2023;2928;IBMR;13.42
032363952023071927;03236395;19/07/2023;2928;IBMR;9.57
032504302023071827;03250430;18/07/2023;2928;IBMR;10.39
032616002023071827;03261600;18/07/2023;2928;IBMR;13.06
032555802023071827;03255580;18/07/2023;2928;IBMR;8.82
032320802023071727;03232080;17/07/2023;2928;IBMR;4.86
032346502023071727;03234650;17/07/2023;2928;IBMR;9.24
032657102023071727;03265710;17/07/2023;2928;IBMR;13.02
032401002023071227;03240100;12/07/2023;2928;IBMR;9.67
032349562023071227;03234956;12/07/2023;2928;IBMR;13.55
032339802023071127;03233980;11/07/2023;2928;IBMR;9.03
032342152023071127;03234215;11/07/2023;2928;IBMR;10.1
031917002023062927;03191700;29/06/2023;2928;IBMR;8.58
031970002023062727;03197000;27/06/2023;2928;IBMR;10.5
032656002022092727;03265600;27/09/2022;2928;IBMR;9.4
032657102022092727;03265710;27/09/2022;2928;IBMR;10.3
032649652022092627;03264965;26/09/2022;2928;IBMR;10.57
032640002022092027;03264000;20/09/2022;2928;IBMR;9.83
032266402022082427;03226640;24/08/2022;2928;IBMR;11.41
032260002022082327;03226000;23/08/2022;2928;IBMR;8.97
032317402022082327;03231740;23/08/2022;2928;IBMR;10.17
032320802022082227;03232080;22/08/2022;2928;IBMR;9.5
032342152022082227;03234215;22/08/2022;2928;IBMR;10.05
041110002022080927;04111000;09/08/2022;2928;IBMR;6.73
031903002022080127;03190300;01/08/2022;2928;IBMR;8.8
041231002022072627;04123100;26/07/2022;2928;IBMR;13.7
041237602022072527;04123760;25/07/2022;2928;IBMR;13.1
032726852022071827;03272685;18/07/2022;2928;IBMR;10.41
032719652022071827;03271965;18/07/2022;2928;IBMR;9.89
032616002022070527;03261600;05/07/2022;2928;IBMR;13.44
032160002022063027;03216000;30/06/2022;2928;IBMR;11.19
032120902022063027;03212090;30/06/2022;2928;IBMR;9.77
032142402022062927;03214240;29/06/2022;2928;IBMR;10.96
031985302022062827;03198530;28/06/2022;2928;IBMR;11.29
031970002022062827;03197000;28/06/2022;2928;IBMR;8.36
031946202022062827;03194620;28/06/2022;2928;IBMR;10.78
032227802022062727;03222780;27/06/2022;2928;IBMR;11.72
032224182022062727;03222418;27/06/2022;2928;IBMR;10
032703902022062327;03270390;23/06/2022;2928;IBMR;13.42
032710002022062327;03271000;23/06/2022;2928;IBMR;10.58
031788352022062227;03178835;22/06/2022;2928;IBMR;10.77
032694382022062227;03269438;22/06/2022;2928;IBMR;9.85
031786602022062227;03178660;22/06/2022;2928;IBMR;10.14
032700002022062227;03270000;22/06/2022;2928;IBMR;12.51
032714152022062227;03271415;22/06/2022;2928;IBMR;12.9
031917002022062227;03191700;22/06/2022;2928;IBMR;9
031992002022062127;03199200;21/06/2022;2928;IBMR;9.78
032504752022062127;03250475;21/06/2022;2928;IBMR;9.38
032504302022062127;03250430;21/06/2022;2928;IBMR;12.96
032507972022062127;03250797;21/06/2022;2928;IBMR;10.86
032484012022062027;03248401;20/06/2022;2928;IBMR;13.38
032367302022062027;03236730;20/06/2022;2928;IBMR;11.58
032349562022061627;03234956;16/06/2022;2928;IBMR;13.59
032411702022061627;03241170;16/06/2022;2928;IBMR;13.52
032415902022061627;03241590;16/06/2022;2928;IBMR;13.04
032555802022061527;03255580;15/06/2022;2928;IBMR;7.92
032556502022061527;03255650;15/06/2022;2928;IBMR;9.79
032551802022061527;03255180;15/06/2022;2928;IBMR;12.19
032537802022061427;03253780;14/06/2022;2928;IBMR;11.9
032543702022061427;03254370;14/06/2022;2928;IBMR;8.19
032547702022061427;03254770;14/06/2022;2928;IBMR;7.24
032459702022061327;03245970;13/06/2022;2928;IBMR;8.99
032578002022061327;03257800;13/06/2022;2928;IBMR;12.33
032174002022060727;03217400;07/06/2022;2928;IBMR;11.16
032170002022053127;03217000;31/05/2022;2928;IBMR;11.23
032556502021090327;03255650;03/09/2021;2928;IBMR;10.35
032555802021090227;03255580;02/09/2021;2928;IBMR;8.57
032547702021090127;03254770;01/09/2021;2928;IBMR;7.03
032537802021083127;03253780;31/08/2021;2928;IBMR;11.57
032551802021082627;03255180;26/08/2021;2928;IBMR;12.25
032504752021082527;03250475;25/08/2021;2928;IBMR;8.88
032504302021082427;03250430;24/08/2021;2928;IBMR;10.47
041110002021081927;04111000;19/08/2021;2928;IBMR;8.53
031780002021081927;03178000;19/08/2021;2928;IBMR;10.01
031746952021081927;03174695;19/08/2021;2928;IBMR;9.92
032310002021081327;03231000;13/08/2021;2928;IBMR;6.57
032324502021081227;03232450;12/08/2021;2928;IBMR;9.63
032263002021081227;03226300;12/08/2021;2928;IBMR;9.12
032260002021081227;03226000;12/08/2021;2928;IBMR;9.5
032286902021081127;03228690;11/08/2021;2928;IBMR;10.87
032317402021081127;03231740;11/08/2021;2928;IBMR;10.75
032320802021081127;03232080;11/08/2021;2928;IBMR;8.17
032484012021081027;03248401;10/08/2021;2928;IBMR;12.87
032339802021081027;03233980;10/08/2021;2928;IBMR;10
031740002021081027;03174000;10/08/2021;2928;IBMR;7.15
032346502021081027;03234650;10/08/2021;2928;IBMR;9.51
032342152021081027;03234215;10/08/2021;2928;IBMR;10.16
032507972021081027;03250797;10/08/2021;2928;IBMR;10.97
032401002021080927;03240100;09/08/2021;2928;IBMR;11.6
032070202021080927;03207020;09/08/2021;2928;IBMR;8.31
032363952021080927;03236395;09/08/2021;2928;IBMR;9.6
032415902021072327;03241590;23/07/2021;2928;IBMR;11.84
032349562021072327;03234956;23/07/2021;2928;IBMR;13.2
032419572021072327;03241957;23/07/2021;2928;IBMR;10.89
032472102021072327;03247210;23/07/2021;2928;IBMR;9.71
032469202021072227;03246920;22/07/2021;2928;IBMR;9.82
032700002021072227;03270000;22/07/2021;2928;IBMR;12.75
032451002021072227;03245100;22/07/2021;2928;IBMR;11.25
032694382021072227;03269438;22/07/2021;2928;IBMR;9.97
032710002021072227;03271000;22/07/2021;2928;IBMR;10.88
