CODE_STATION	TYPO_NATIONALE	TG_BV	PERIODE_DEBUT	PERIODE_FIN
03174000	TG9	OUI	1995	1995
03174000	TG9	OUI	1996	1996
03174000	TG9	OUI	1997	1997
03174000	TG9	OUI	1998	1998
03174000	TG9	OUI	1999	1999
03174000	TG9	OUI	2000	2000
03174000	TG9	OUI	2001	2001
03174000	TG9	OUI	2002	2002
03174000	TG9	OUI	2003	2003
03174000	TG9	OUI	2004	2004
03174000	TG9	OUI	2005	2005
03174000	TG9	OUI	2006	2006
03174000	TG9	OUI	2007	2007
03174000	TG9	OUI	2008	2008
03174000	TG9	OUI	2009	2009
03174000	TG9	OUI	2010	2010
03174000	TG9	OUI	2011	2011
03174000	TG9	OUI	2012	2012
03174000	TG9	OUI	2013	2013
03174000	TG9	OUI	2014	2014
03174000	TG9	OUI	2015	2015
03174000	TG9	OUI	2016	2016
03174000	TG9	OUI	2017	2017
03174000	TG9	OUI	2018	2018
03174000	TG9	OUI	2019	2019
03174000	TG9	OUI	2020	2020
03174000	TG9	OUI	2021	2021
03174000	TG9	OUI	2022	2022
03174000	TG9	OUI	2023	2023
03174000	TG9	OUI	2024	2024
03174000	TG9	OUI	2025	2025
03174695	TP9	NON	1995	1995
03174695	TP9	NON	1996	1996
03174695	TP9	NON	1997	1997
03174695	TP9	NON	1998	1998
03174695	TP9	NON	1999	1999
03174695	TP9	NON	2000	2000
03174695	TP9	NON	2001	2001
03174695	TP9	NON	2002	2002
03174695	TP9	NON	2003	2003
03174695	TP9	NON	2004	2004
03174695	TP9	NON	2005	2005
03174695	TP9	NON	2006	2006
03174695	TP9	NON	2007	2007
03174695	TP9	NON	2008	2008
03174695	TP9	NON	2009	2009
03174695	TP9	NON	2010	2010
03174695	TP9	NON	2011	2011
03174695	TP9	NON	2012	2012
03174695	TP9	NON	2013	2013
03174695	TP9	NON	2014	2014
03174695	TP9	NON	2015	2015
03174695	TP9	NON	2016	2016
03174695	TP9	NON	2017	2017
03174695	TP9	NON	2018	2018
03174695	TP9	NON	2019	2019
03174695	TP9	NON	2020	2020
03174695	TP9	NON	2021	2021
03174695	TP9	NON	2022	2022
03174695	TP9	NON	2023	2023
03174695	TP9	NON	2024	2024
03174695	TP9	NON	2025	2025
03175000	P9-A	NON	2008	2008
03175000	P9-A	NON	2009	2009
03175000	P9-A	NON	2010	2010
03175000	P9-A	NON	2011	2011
03175000	P9-A	NON	2012	2012
03175000	P9-A	NON	2013	2013
03175000	P9-A	NON	2014	2014
03175000	P9-A	NON	2015	2015
03175000	P9-A	NON	2016	2016
03175000	P9-A	NON	2017	2017
03175000	P9-A	NON	2018	2018
03175000	P9-A	NON	2019	2019
03175000	P9-A	NON	2020	2020
03175000	P9-A	NON	2021	2021
03175000	P9-A	NON	2022	2022
03175000	P9-A	NON	2023	2023
03175000	P9-A	NON	2024	2024
03176945	P9-A	NON	2008	2008
03176945	P9-A	NON	2009	2009
03176945	P9-A	NON	2010	2010
03176945	P9-A	NON	2011	2011
03176945	P9-A	NON	2012	2012
03176945	P9-A	NON	2013	2013
03176945	P9-A	NON	2014	2014
03176945	P9-A	NON	2015	2015
03176945	P9-A	NON	2016	2016
03176945	P9-A	NON	2017	2017
03176945	P9-A	NON	2018	2018
03176945	P9-A	NON	2019	2019
03176945	P9-A	NON	2020	2020
03176945	P9-A	NON	2021	2021
